"id","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length"
"66","28","120000","MORTGAGE","13","VENTURE","C","7200","14.72","0.06","Y","6"
"67","26","30000","RENT","2","MEDICAL","A","12000","7.51","0.4","N","4"
"68","31","62900","MORTGAGE","2","MEDICAL","D","18000","14.09","0.24","N","5"
"69","24","40000","RENT","3","MEDICAL","C","3000","13.22","0.07","N","4"
"70","43","68000","MORTGAGE","0","MEDICAL","A","5000","8.9","0.07","N","17"
"71","31","75000","MORTGAGE","4","DEBTCONSOLIDATION","A","12000","7.51","0.16","N","8"
"72","27","31200","RENT","1","PERSONAL","C","3200","13.11","0.1","Y","6"
"73","24","24000","RENT","4","MEDICAL","B","3000","10.95","0.13","N","2"
"74","23","100000","MORTGAGE","7","EDUCATION","A","6000","7.74","0.06","N","3"
"75","28","27000","OWN","0","PERSONAL","A","12000","7.51","0.44","N","6"
